type: boundary | latency: 0.500000
type: comm | latency: 388.000000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: comm | latency: 77.000000
type: boundary | latency: 0.500000
type: comm | latency: 192.000000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: comm | latency: 127.000000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: comm | latency: 3943.000000
type: comm | latency: 58694.000000
type: comm | latency: 59469.000000
type: boundary | latency: 0.500000
type: comm | latency: 3490.000000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: comm | latency: 2339.000000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: comm | latency: 403.000000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: comm | latency: 3953.000000
type: comm | latency: 6067.000000
type: boundary | latency: 0.500000
type: comm | latency: 143.000000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: comm | latency: 515.000000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: comm | latency: 1351.000000
type: boundary | latency: 0.500000
type: comm | latency: 164.000000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
type: boundary | latency: 0.500000
